method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-crystal,gign,2,282,0.8190222516302059,0.7777956871009007,0.8551529821464783,1.2903411095010848,1.1821908906047418,1.3976921522902592,20000,20000
mean,gnina-crystal,gign,3,282,0.8280724899827943,0.7910767844568263,0.8611238014791139,1.2958739905762695,1.1873465253442392,1.404246966643394,20000,20000
mean,gnina-crystal,gign,5,282,0.8105270564624568,0.7705028909073846,0.8461860192371977,1.3762967573287284,1.2577999063810301,1.4961070485241088,20000,20000
mean,gnina-crystal,gign,10,282,0.7770946032126438,0.7291804463213282,0.8199299662347631,1.5158812727088116,1.3837589604369274,1.6491208184823305,20000,20000
mean,gnina-crystal,gign,20,282,0.7440759233742094,0.6903773639181648,0.792343819819627,1.6757962016287973,1.5314697295338409,1.8215190404195452,20000,20000
mean,gnina-crystal,gign,30,282,0.7247280619682698,0.6683269374920984,0.7755263455785714,1.7643779621880205,1.6150850521524462,1.9136286506433509,20000,20000
mean,gnina-crystal,gign,50,282,0.7093591760561018,0.648828032208088,0.7640133867243382,1.847280312069703,1.693951932000259,2.0008367112193457,20000,20000
mean,gnina-crystal,gign,100,283,0.678066673481051,0.614024170561549,0.7363557132344313,1.985689104011099,1.823547720845427,2.143165840524033,20000,20000
mean,gnina-crystal,onionnet-2,1,284,0.7735017098207811,0.7176002682288652,0.8190560764446327,1.4465629277023577,1.3199211363109047,1.575938498217943,20000,20000
mean,gnina-crystal,onionnet-2,2,284,0.7689056012027274,0.7140828158907933,0.8142808966681693,1.4740555289624568,1.3419285747491383,1.608800392723445,20000,20000
mean,gnina-crystal,onionnet-2,3,284,0.7651556034707025,0.7101505436769844,0.8108422136274708,1.4918243025934033,1.3588621692746854,1.6272995276602595,20000,20000
mean,gnina-crystal,onionnet-2,5,284,0.7474048079119321,0.6900159795383626,0.7968088134911244,1.5458600910109173,1.4062900655782387,1.6880992912294865,20000,20000
mean,gnina-crystal,onionnet-2,10,284,0.7151966172904219,0.6537629794571027,0.768486280707241,1.6438430430540452,1.4968924973799025,1.7920652720154902,20000,20000
mean,gnina-crystal,onionnet-2,20,284,0.6933186075048066,0.6276330551237524,0.7507574836310384,1.7268958253850226,1.5719698737499974,1.881959012877454,20000,20000
mean,gnina-crystal,onionnet-2,30,284,0.6777612070578707,0.609984672413774,0.7374448816803503,1.7832788300309685,1.6237917053803812,1.9425253945212169,20000,20000
mean,gnina-crystal,onionnet-2,50,284,0.6653501215616885,0.5965949491852839,0.7269134331253468,1.8380343161091348,1.6750722118290862,2.0002009483811083,20000,20000
mean,gnina-crystal,onionnet-2,100,284,0.6521660367827812,0.5811824151019791,0.7160285717075244,1.90258377699635,1.737643866646299,2.0681555102815947,20000,20000
mean,gnina-apo,dynaformer,1,284,0.5737473840691216,0.49053682664074133,0.6494526435164915,1.907587209751191,1.7393975602281206,2.074147017511396,20000,20000
mean,gnina-apo,dynaformer,2,285,0.6127592023564629,0.5410098871973177,0.6787687811702688,1.8398156760507796,1.6824685977731038,1.9968503485544349,20000,20000
mean,gnina-apo,dynaformer,3,285,0.6168270307579202,0.5456399060420926,0.6817147634989169,1.8453565229623088,1.685741611810856,2.0067696131988138,20000,20000
mean,gnina-apo,dynaformer,5,285,0.608487372416782,0.535159620194792,0.6753145088452193,1.8695795638491985,1.7093324512369397,2.029181038352498,20000,20000
