method,source,model,n_poses,pcc,rmse,n_targets
median,gnina-crystal,dynaformer,1,0.7202755241965828,1.5043334401078132,283
median,gnina-crystal,dynaformer,2,0.7276525832805676,1.4941695902177388,283
median,gnina-crystal,dynaformer,3,0.7241815479425734,1.5030021842086225,283
median,gnina-crystal,dynaformer,5,0.7308621997634622,1.4921901874620982,283
median,gnina-crystal,dynaformer,10,0.6964786507770417,1.5679398751493059,283
median,gnina-crystal,dynaformer,20,0.6673511659113174,1.633442010516803,283
median,gnina-crystal,dynaformer,30,0.6415816960724116,1.6893430845481843,283
median,gnina-crystal,dynaformer,50,0.6281169492884067,1.7217007143658876,283
median,gnina-crystal,dynaformer,100,0.60966936528578,1.769005527103956,283
median,gnina-crystal,egna,1,0.8202880425710031,1.371427514512465,283
median,gnina-crystal,egna,2,0.809376446504071,1.405050173267593,283
median,gnina-crystal,egna,3,0.8096665956314111,1.3993658015840997,283
median,gnina-crystal,egna,5,0.7973901939075992,1.429521003816788,283
median,gnina-crystal,egna,10,0.7845841001158333,1.4801922447006959,283
median,gnina-crystal,egna,20,0.7724246552196616,1.5288283060564039,283
median,gnina-crystal,egna,30,0.7635639053543378,1.5600118068321889,283
median,gnina-crystal,egna,50,0.7623426091331726,1.5814957472552915,283
median,gnina-crystal,egna,100,0.7529196592747026,1.6275581115156608,283
median,gnina-crystal,ehign_pla,1,0.8240761949935167,1.2645497745553376,282
median,gnina-crystal,ehign_pla,2,0.8268720772933821,1.2775690293687998,282
median,gnina-crystal,ehign_pla,3,0.8216658283046616,1.2956852044269636,282
median,gnina-crystal,ehign_pla,5,0.8143332419381127,1.3413706006740036,282
median,gnina-crystal,ehign_pla,10,0.783003892253578,1.4826921724552777,282
median,gnina-crystal,ehign_pla,20,0.7426390375891709,1.6498065767055266,282
median,gnina-crystal,ehign_pla,30,0.728512376858211,1.7312309426671648,282
median,gnina-crystal,ehign_pla,50,0.7132919048573511,1.8229434884386144,282
median,gnina-crystal,ehign_pla,100,0.672760212757066,2.007199935198305,283
median,gnina-crystal,gign,1,0.8200573347789085,1.2540648574930744,282
median,gnina-crystal,gign,2,0.8190222516302059,1.2903411095010848,282
median,gnina-crystal,gign,3,0.8167291352170634,1.3085496732663027,282
median,gnina-crystal,gign,5,0.806686550597565,1.3657428607902538,282
median,gnina-crystal,gign,10,0.7602844508192084,1.5304570309364538,282
median,gnina-crystal,gign,20,0.7221088436700955,1.6973226759797926,282
median,gnina-crystal,gign,30,0.6999801396012062,1.7905127286312996,282
median,gnina-crystal,gign,50,0.6858396359990865,1.8629662046778392,282
median,gnina-crystal,gign,100,0.6483132724854372,2.021168743838283,283
median,gnina-crystal,onionnet-2,1,0.7735017098207811,1.4465629277023577,284
